CHANGESET,COMMIT MESSAGE,OWNER,DATE AND TIME
341,Clecning up pending changes before removal,Papa Niane,18 Feb 2015 at 04:55
20,Removing old security users,Papa Niane,23 Dec 2014 at 03:50
19,Creating a 2008R2 version of the DB project,Papa Niane,23 Dec 2014 at 03:50
18,Removing old user settings,Papa Niane,22 Dec 2014 at 23:32
17,Adding new DB Project,Papa Niane,22 Dec 2014 at 23:30
16,Deleting ol DB Project,Papa Niane,22 Dec 2014 at 23:27
15,Removing old DB project,Papa Niane,22 Dec 2014 at 23:25
14,Loading Forecast Tool from MA to Staging,Papa Niane,22 Dec 2014 at 22:50
13,Adding the DB Project,Papa Niane,22 Dec 2014 at 22:33
12,Checking in FLCAT from FL TFS,Papa Niane,22 Dec 2014 at 22:25
11,Loading the FLCAT source code to a staging area,Papa Niane,22 Dec 2014 at 22:21
